NDID,grams_Pro_per_100g,grams_Fat_per_100g,grams_Cho_per_100g,Category_1,Category_2,Category_3,Serving_Size,Store,Package_Amount,Price_per_Package
ND01422,19.38,1.02,1.325,Seafood,Finfish,Grouper,85g=3 oz / 259g=1 fillet,PB,340,14.99
ND01046,17.17,20,1.33,Meats,Beef,Ground,113g=4 oz / g=,PB,508.023454,5.25
ND01058,17.51,22.07,1.3325,Meats,Beef,Steak,28g=1 oz / 453.6g=1 lb,PB,454,12.77
ND01044,16.96428571,19.64285714,1.339285714,Meats,Beef,Ground,4 oz,WM,454,3.87
ND01050,16.07142857,25,1.339285714,Meats,Beef,Ground,4 oz (112g),PB,562.4,6.19
ND01045,16.96428571,19.64285714,1.339285714,Meats,Beef,Ground,4 oz (112g),PB,548.85,5.67
ND01040,20.53571429,7.142857143,1.339285714,Meats,Beef,Ground,4 oz (112g),PB,626,9.37
ND01041,20.53571429,7.142857143,1.339285714,Meats,Beef,Ground,4 oz.,WD,490,7.33
ND01080,21.42857143,1.785714286,1.339285714,Meats,Luncheon_Meats,Chicken,2 oz.,PB,112,4.49
ND01446,21.42857143,1.785714286,1.339285714,Seafood,Finfish,Tuna,2 oz. or 0.25 cup,PB,181,3.59
ND01431,20.5,4.4,1.35,Seafood,Finfish,Salmon,3 oz = 85g,Ward,454,1.66
ND01453,24.32432432,0.675675676,1.351351351,Seafood,Finfish,Tuna,1 pouch,PB,74,1.49
ND01430,20.42,13.42,1.385,Seafood,Finfish,Salmon,85g=3 oz / 198g=.5 fillet,PB,454,10.99
ND01429,19.1011236,3.370786517,1.404494382,Seafood,Finfish,Salmon,1 fillet,PB,179,4.49
ND01053,22.22,6.5,1.405,Meats,Beef,Steak,85g=3 oz / 460g=1 steak,PB,454,12.99
ND01168,21.99,3.71,1.4125,Meats,Pork,Null,"85g=3 oz / 178g=1 chop, without refuse (Yield from 1 raw chop, with refuse, weighing 259g)",PB,535.238997,4.12
ND01000,17.64705882,10.29411765,1.470588235,Meats,Bacon_and_Sausage,Prepared_Sausage,3 links (68 g),PB,272,4.49
ND00999,16.17647059,10.29411765,1.470588235,Meats,Bacon_and_Sausage,Prepared_Sausage,2 patties (68 g),PB,272,4.49
ND01437,20.51,1.34,1.475,Seafood,Finfish,Snapper,85g=3 oz / 218g=1 fillet,PB,340,14.99
ND01054,22.09,4.08,1.48,Meats,Beef,Steak,28g=1 oz / 453.6g=1 lb,PB,454,8.99
ND01086,18.75,3.125,1.5625,Meats,Luncheon_Meats,Ham,3 slices,WD,340,4.49
ND01180,21.42857143,2.678571429,1.5625,Meats,Poultry,Chicken_Breast,4 oz,PB,816.466265,6.28
ND01185,21.42857143,2.678571429,1.5625,Meats,Poultry,Chicken_Breast,4 oz,PB,625.9575,10.34
ND01215,18.75,9.821428571,1.5625,Meats,Poultry,Turkey_meat,4 oz,PB,1297.27,9.41
ND01449,23.21428571,0.892857143,1.5625,Seafood,Finfish,Tuna,0.25 cup (2oz),PB,142,2.49
ND01188,22.5,2.62,1.605,Meats,Poultry,Chicken_Breast,85g=3 oz / 272g=1 piece,PB,811.930342,8.4
ND01167,22.81,2.59,1.6125,Meats,Pork,Null,85g=3 oz / 210g=1 chop,PB,689.460402,5.3
ND01169,22.41,3.42,1.645,Meats,Pork,Null,85g=3 oz / 185g=1 chop,PB,503.48753,6.43
ND01534,1.123595506,0,1.685393258,Sweets,Gelatin,Null,1 snack,SW,356,1.98
ND01535,1.123595506,0,1.685393258,Sweets,Gelatin,Null,1 snack,PB,356,2.5
ND01537,1.123595506,0,1.685393258,Sweets,Gelatin,Null,1 snack,SW,356,1.98
ND01538,1.123595506,0,1.685393258,Sweets,Gelatin,Null,1 snack,PB,356,2.5
ND01539,1.123595506,0,1.685393258,Sweets,Gelatin,Null,1 snack,SW,356,1.98
ND01540,1.123595506,0,1.685393258,Sweets,Gelatin,Null,1 snack,PB,356,2.5
ND01038,11.86440678,20.33898305,1.694915254,Meats,Bacon_and_Sausage,Vienna_Sausage,59 g (4 links),PB,130,0.65
ND00428,10.9,0.17,1.7175,Dairy_and_Egg,Egg,Fresh,33g=1 large / 243g=1 cup,PB,600,2.99
ND00713,3.09,14.8,1.73,Formulas,Fat,Null,100 mL,I,6399,134
ND01454,24.4,0.49,1.7475,Seafood,Finfish,Tuna,"28g=1 oz, boneless / 16g=1 cubic inch, boneless",PB,454,18.99
ND01232,3.571428571,16.07142857,1.785714286,Beverages,Milk_Substitutes,Coconut Milk,0.25 cup,PB,400,2.29
ND00592,0,78.57142857,1.785714286,Fats_and_Oils,Butter,Other,1 tbsp,PB,226,2.19
ND00595,0,78.57142857,1.785714286,Fats_and_Oils,Butter,Plain,1 tbsp,PB,227,2.29
ND00596,0,78.57142857,1.785714286,Fats_and_Oils,Butter,Plain,1 tbsp,PB,227,2.29
ND00597,0,78.57142857,1.785714286,Fats_and_Oils,Butter,Plain,1 tbsp,PB,453,4.39
ND00598,0,78.57142857,1.785714286,Fats_and_Oils,Butter,Plain,1 tbsp,PB,453,4.39
ND01851,0,78.57142857,1.785714286,Fats_and_Oils,Butter,Plain,1 tbsp,PB,454,2.77
ND00599,0,78.57142857,1.785714286,Fats_and_Oils,Butter,Plain,1 tbsp,WM,454,2.97
ND01916,0,78.57142857,1.785714286,Fats_and_Oils,Butter,Plain,1 Tbsp,SW,500,6.98
ND00600,0,78.57142857,1.785714286,Fats_and_Oils,Butter,Plain,1 tbsp,PB,453.6,4.59
ND00601,0,78.57142857,1.785714286,Fats_and_Oils,Butter,Plain,1 tbsp,PB,453.6,4.59
ND00604,0,78.57142857,1.785714286,Fats_and_Oils,Butter,Plain,1 tbsp,Ward,454,6.99
ND00605,0,78.57142857,1.785714286,Fats_and_Oils,Butter,Plain,1 tbsp,Ward,454,6.99
ND00606,0,78.57142857,1.785714286,Fats_and_Oils,Butter,Plain,1 tbsp,PB,454,3.79
ND00607,0,78.57142857,1.785714286,Fats_and_Oils,Butter,Plain,1 tbsp,WD,453,3.99
ND00624,0,78.57142857,1.785714286,Fats_and_Oils,Margarine_and_Margarine_Substitutes,Plain,1 tbsp,PB,425,2.57
ND00641,0,78.57142857,1.785714286,Fats_and_Oils,Margarine_and_Margarine_Substitutes,Supplemented,1 tbsp,PB,425,3.99
ND00642,0,78.57142857,1.785714286,Fats_and_Oils,Margarine_and_Margarine_Substitutes,Supplemented,1 tbsp,PB,453,3.39
ND00640,0,78.57142857,1.785714286,Fats_and_Oils,Margarine_and_Margarine_Substitutes,Supplemented,1 tbsp,PB,453,2.19
ND00986,42.85714286,35.71428571,1.785714286,Meats,Bacon_and_Sausage,Pork_Bacon,2 fried slices,PB,340,3.59
ND00959,19.64285714,4.464285714,1.785714286,Meats,Bacon_and_Sausage,Pork_Bacon,2 slices,PB,170,3.79
ND01059,26.19047619,16.66666667,1.785714286,Meats,Beef,Steak,3 oz.=84 g,I,381,17.25
ND01066,16.07142857,12.5,1.785714286,Meats,Luncheon_Meats,Beef,1 package,SW,56,0.68
ND01069,26.78571429,12.5,1.785714286,Meats,Luncheon_Meats,Beef,56 g (2 oz. OR 0.25 cup),PB,340,5.49
ND01078,23.21428571,0.892857143,1.785714286,Meats,Luncheon_Meats,Chicken,2 oz.,I,454,9.59
ND01077,17.85714286,1.785714286,1.785714286,Meats,Luncheon_Meats,Chicken,2 oz.,WD,252,5.29
ND01141,16.07142857,14.28571429,1.785714286,Meats,Luncheon_Meats,Spam,2 oz,PB,340,2.87
ND01140,16.07142857,8.035714286,1.785714286,Meats,Luncheon_Meats,Spam,2 oz,PB,340,2.87
ND01156,21.42857143,1.785714286,1.785714286,Meats,Luncheon_Meats,Turkey,2 oz,PB,213,4.49
ND01186,21.42857143,2.678571429,1.785714286,Meats,Poultry,Chicken_Breast,4 oz raw,WD,861.826,8.91
ND01179,19.64285714,1.785714286,1.785714286,Meats,Poultry,Chicken_Breast,0.25 cup,PB,198,3.09
ND01297,0,78.57142857,1.785714286,Sauces_Soups_Condiments_Dressing,Condiments,Mayonnaise,1 Tbsp.,LK,709,6.99
ND00437,12.56,9.51,1.7925,Dairy_and_Egg,Egg,Fresh,50g=1 large / 56g=1 extra large,PB,600,2.99
ND01173,25.82,18.05,1.8175,Meats,Pork,Null,"85g=3 oz / 75g=1 chop, excluding refuse (yield from 1 raw chop, with refuse, weighing 113 g)",SW,621.421546,5.67
ND01457,13.61,1.01,1.8675,Seafood,Shellfish,Shrimp,6g=1 medium / 5g=1 small,PB,680,14.99
ND01172,25.07,17.69,1.8775,Meats,Pork,Null,"85g=3 oz / 185g=1 steak, without refuse (Yield from 1 cooked steak, with refuse, weighing 249g)",PB,1782.618,13.72
ND01194,24.10714286,1.339285714,1.897321429,Meats,Poultry,Ground_Turkey,4 oz.,PB,589.67,7.69
ND00997,30.76923077,53.84615385,1.923076923,Meats,Bacon_and_Sausage,Pork_Bacon,1 fried slice,WD,1360,15.99
ND01296,0,84.61538462,1.923076923,Sauces_Soups_Condiments_Dressing,Condiments,Mayonnaise,1 Tbsp,SW,532,2.74
ND01049,27,17.36,1.94,Meats,Beef,Ground,85g=3 oz / g=,PB,508.023454,5.25
ND01213,30.13,2.08,1.94,Meats,Poultry,Turkey_meat,1 serving = 85g,PB,1362,12.19
ND01216,27.71,6.04,1.95,Meats,Poultry,Turkey_meat,85g=1 serving / g=,PB,1279.13048,9.28
ND01057,26.58,16.76,1.96,Meats,Beef,Steak,"85g=3 oz / 236g=1 steak,  (yield from 297 g raw meat)",PB,454,8.99
ND00958,21.56862745,2.941176471,1.960784314,Meats,Bacon_and_Sausage,Pork_Bacon,3 slices,PB,170,3.99
ND00450,12,17,2,Dairy_and_Egg,Egg,Liquid,100 g,I,N/A,N/A
ND01114,12,30,2,Meats,Luncheon_Meats,Hot_Dog,1 frank,PB,396,5.99
ND01164,16,10,2,Meats,Luncheon_Meats,Turkey,4 slices,PB,454,5.99
ND01423,25,1.19047619,2.083333333,Seafood,Finfish,Grouper,.66 fillet cooked (3 oz),PB,340,14.99
ND01434,27.38095238,10.71428571,2.083333333,Seafood,Finfish,Salmon,about .66 fillet cooked (3oz),PB,340,14.99
ND00744,73,1.4,2.1,Formulas,Protein,Null,100 g of powder,I,900,96
ND00103,9.85915493,5.633802817,2.112676056,Baby_Foods,Baby_Meats,Stage_1,1 jar,WD,71,1.19
ND01644,0.59,0.16,2.16,Vegetables,Green,Cucumber,"1 cup pared, chopped = 133g",PB,340,0.75
ND00441,8.695652174,0,2.173913043,Dairy_and_Egg,Egg,Liquid,3 tbsp,PB,425,3
ND01191,31.02,3.57,2.1975,Meats,Poultry,Chicken_Breast,"140g=1 cup, chopped or diced / 52g=1 unit,  (yield from 1 lb ready-to-cook chicken)",PB,811.930342,8.4
ND01664,1.35,0.22,2.23,Vegetables,Green,lettuce,"1 cup, shredded or chopped = 55g",PB,544.311,2.29
ND01006,14.28571429,30.35714286,2.232142857,Meats,Bacon_and_Sausage,Prepared_Sausage,2oz cooked portion,PB,453,4.49
ND01012,14.28571429,30.35714286,2.232142857,Meats,Bacon_and_Sausage,Prepared_Sausage,2oz cooked portion,PB,453,4.49
ND01013,14.28571429,30.35714286,2.232142857,Meats,Bacon_and_Sausage,Prepared_Sausage,2oz cooked portion,PB,453,4.49
ND01014,14.28571429,30.35714286,2.232142857,Meats,Bacon_and_Sausage,Prepared_Sausage,2oz cooked portion,PB,453,4.49
ND01015,17.85714286,26.78571429,2.232142857,Meats,Bacon_and_Sausage,Prepared_Sausage,2oz cooked,PB,453,3.69
ND01016,17.85714286,26.78571429,2.232142857,Meats,Bacon_and_Sausage,Prepared_Sausage,2oz cooked,PB,453,3.69
ND01071,12.5,23.21428571,2.232142857,Meats,Luncheon_Meats,Bologna,2 oz. (56 g),I,454,7.39
ND01072,12.5,23.21428571,2.232142857,Meats,Luncheon_Meats,Bologna,2 oz. (56 g),I,454,7.19
ND01151,16.07142857,1.785714286,2.232142857,Meats,Luncheon_Meats,Turkey,2 oz,PB,454,6.99
ND01099,12,7,2.25,Meats,Luncheon_Meats,Hot_Dog,1 link,PB,397,5.79
ND00439,12.58,10.61,2.2975,Dairy_and_Egg,Egg,Fresh,"136g=1 cup, chopped / 8.5g=1 tbsp",I,N/A,2.99
ND01728,9.411764706,4.117647059,2.352941176,Vegetables,Processed,Soy products,3 oz.,PB,397,2.99
ND01617,1.587301587,0,2.380952381,Vegetables,Green,Asparagus,5 spears,PB,425,3.25
ND01863,4.761904762,2.976190476,2.380952381,Vegetables,Processed,Soy products,3 oz,EO,340,2.19
ND01621,1.62601626,0,2.43902439,Vegetables,Green,Asparagus,3 spears,PB,538,4.39
ND00110,14.08450704,9.85915493,2.464788732,Baby_Foods,Baby_Meats,Stage_3,"1 jar, drained",PB ,71,1.59
ND01687,2.479338843,0.41322314,2.479338843,Vegetables,Green,Spinach,0.5 cup,WD,383,1.19
ND01028,12,38,2.5,Meats,Bacon_and_Sausage,Prepared_Sausage,1 patty ,SW,1000,6.54
ND01622,1.666666667,0,2.5,Vegetables,Green,Asparagus,0.5 cup,PB,411,2.23
ND01623,1.666666667,0,2.5,Vegetables,Green,Asparagus,0.5 cup,WD,411,1.89
ND01624,1.666666667,0,2.5,Vegetables,Green,Asparagus,0.5 cup,WD,425,2.89
ND01625,1.680672269,0,2.521008403,Vegetables,Green,Asparagus,0.5 cup,PB,297,2.09
ND01433,23.80952381,4.166666667,2.529761905,Seafood,Finfish,Salmon,.66 fillet cooked (3 oz),PB,340,12.99
ND01030,11.86440678,40.6779661,2.542372881,Meats,Bacon_and_Sausage,Prepared_Sausage,3 links,PB,198,2.69
ND00438,9.99,10.98,2.555,Dairy_and_Egg,Egg,Fresh,61g=1 large / 13.7g=1 tbsp,I,N/A,2.99
ND01477,3.15,0.64,2.65,Spices_and_Herbs,Seasonings,Null,"2g=5 leaves / 5.3g=2 tbsp, chopped",I,8,4.28
ND00471,4.424778761,1.327433628,2.654867257,Dairy_and_Egg,Yogurt,Flavored,1 container ,PB,452,3
ND00470,4.424778761,1.327433628,2.654867257,Dairy_and_Egg,Yogurt,Flavored,1 container ,PB,453,3
ND01726,0.884955752,0.442477876,2.654867257,Vegetables,Processed,Soy products,4 oz. ,WD,226,1.99
ND01130,17.85714286,46.42857143,2.678571429,Meats,Luncheon_Meats,Pepperoni,14 slices,SW,170,2.98
ND01131,17.85714286,46.42857143,2.678571429,Meats,Luncheon_Meats,Pepperoni,1 oz,PB,142,3.99
ND01442,19.64285714,0,2.678571429,Seafood,Finfish,Tuna,about 0.25 cup drained (2 oz),PB,340,2.99
ND00424,2.1,36,2.7,Dairy_and_Egg,Cream,Null,N/A,I,500,N/A
ND00446,10.86956522,0,2.717391304,Dairy_and_Egg,Egg,Liquid,3 tbsp,PB,908,3.99
ND00447,10.86956522,0,2.717391304,Dairy_and_Egg,Egg,Liquid,3 tbsp,PB,397,2.79
ND00445,10.86956522,0,2.717391304,Dairy_and_Egg,Egg,Liquid,3 tbsp,PB,454,3
ND00444,10.86956522,0,2.717391304,Dairy_and_Egg,Egg,Liquid,3 tbsp,PB,454,3
ND00449,10.86956522,0,2.717391304,Dairy_and_Egg,Egg,Liquid,3 tbsp,SW,907,4.48
ND00448,10.86956522,0,2.717391304,Dairy_and_Egg,Egg,Liquid,3 tbsp,SW,907,4.48
ND00443,10.86956522,0,2.717391304,Dairy_and_Egg,Egg,Liquid,3 tbsp ,PB,460,3
ND00430,12,9,2.75,Dairy_and_Egg,Egg,Fresh,1 egg,PB,900,2.99
ND01161,16.66666667,3.703703704,2.777777778,Meats,Luncheon_Meats,Turkey,6 slice,PB,198.446662,4.29
ND00425,2.05,37,2.79,Dairy_and_Egg,Cream,Null,"120g=1 cup,  whipped / 238g=1 cup, fluid (yields 2 cups whipped)",PB,473,3.45
ND01189,22.53521127,2.816901408,2.816901408,Meats,Poultry,Chicken_Breast,0.5 cup,SW,255,3.84
ND01190,22.53521127,2.816901408,2.816901408,Meats,Poultry,Chicken_Breast,0.5 cup,SW,255,3.84
ND01729,8.450704225,4.225352113,2.816901408,Vegetables,Processed,Soy products,2.5 oz,PB,283,3.99
ND01162,14.51612903,4.838709677,2.822580645,Meats,Luncheon_Meats,Turkey,62 g (3 slices),PB,227,3.49
ND00720,15.90909091,75,2.840909091,Formulas,Fat,Null,1 package,I,1056,44.99
ND00463,2.07,19.73,2.88,Dairy_and_Egg,Sour_Cream,Null,12g=1 tbsp / 230g=1 cup,I,N/A,0.99
ND01042,19.64285714,9.821428571,2.901785714,Meats,Beef,Ground,4 oz (112g),PB,530.7,8.18
ND01092,17.85714286,2.678571429,2.901785714,Meats,Luncheon_Meats,Ham,4 slices (56g),PB,227,4.39
ND01125,17.85714286,2.678571429,2.901785714,Meats,Luncheon_Meats,Pastrami,2 oz,PB,198,4.49
ND01427,17.85714286,2.678571429,2.901785714,Seafood,Finfish,Salmon,about 0.25 cup drained (2oz),PB,142,2.29
ND01445,23.21428571,6.25,2.901785714,Seafood,Finfish,Tuna,about 0.25 cup drained,PB,142,1.67
ND01023,13.23529412,35.29411765,2.941176471,Meats,Bacon_and_Sausage,Prepared_Sausage,3 links,PB,272,4.49
ND01641,0.69,0.17,2.97,Vegetables,Green,Celery,1 cup chopped = 101g,PB,690,1.99
ND01662,0.9,0.14,2.97,Vegetables,Green,lettuce,1 cup shredded = 72g,PB,800,2.49
ND01727,4.395604396,2.197802198,3.021978022,Vegetables,Processed,Soy products,.2 package,PB,454,2.99
ND01690,1.21,0.32,3.11,Vegetables,Green,Zucchini,"124g=1 cup, chopped / 113g=1 cup, sliced",PB,454,1.69
ND01798,2.71,0.4,3.11,Vegetables,Yellow,Squash,16g=1 large / 11g=1 medium,PB,454,1.69
ND01009,15.625,28.125,3.125,Meats,Bacon_and_Sausage,Prepared_Sausage,1 skillet cooked patty,PB,340,3.99
ND01136,21.42857143,26.78571429,3.125,Meats,Luncheon_Meats,Salami,8 slices,PB,113,4.49
ND00423,2.1,35,3.15,Dairy_and_Egg,Cream,Null,N/A,I,1000,N/A
ND01361,4.838709677,32.25806452,3.225806452,Sauces_Soups_Condiments_Dressing,Sauces,Alfredo,0.25 cup,PB,425,5.99
ND01618,1.612903226,0,3.225806452,Vegetables,Green,Asparagus,0.5 cup (undrained),SW,298,1.68
ND01619,1.612903226,0,3.225806452,Vegetables,Green,Asparagus,0.5 cup (undrained),PB,340,3.19
ND01620,1.612903226,0,3.225806452,Vegetables,Green,Asparagus,0.5 cup (undrained),PB,425,3.19
ND01768,3.09,0.34,3.26,Vegetables,White_Brown_Black,Mushroom,"70g=1 cup, pieces or slices / 96g=1 cup, whole",PB,454,3.69
ND00388,26.08695652,30.43478261,3.260869565,Dairy_and_Egg,Cheese,Muenster,1 Slice,PB,227,2.5
ND01663,1.23,0.3,3.29,Vegetables,Green,lettuce,1 cup shredded = 47g,PB,660,1.99
ND01646,0.826446281,0,3.305785124,Vegetables,Green,Green_Beans,0.5 cup,PB,411,1.43
ND01647,0.826446281,0,3.305785124,Vegetables,Green,Green_Beans,0.5 cup (undrained),PB,411,1.69
ND01648,0.826446281,0,3.305785124,Vegetables,Green,Green_Beans,0.5 cup,WD,411,1.49
ND01649,0.826446281,0,3.305785124,Vegetables,Green,Green_Beans,0.5 cup (undrained),PB,411,1.43
ND01650,0.826446281,0,3.305785124,Vegetables,Green,Green_Beans,0.5 cup,PB,411,1.49
ND01651,0.826446281,0,3.305785124,Vegetables,Green,Green_Beans,0.5 cup ,PB,411,1.69
ND00363,6.666666667,33.33333333,3.333333333,Dairy_and_Egg,Cheese,Cream_Cheese,2 tbsp,PB,227,3.99
ND01918,20,23.33333333,3.333333333,Dairy_and_Egg,Cheese,Mozzarella,1 inch cube ,PB,453,4.69
ND00375,23.33333333,20,3.333333333,Dairy_and_Egg,Cheese,Mozzarella,1 in. cube (1oz),PB,226,2.69
ND00464,3.333333333,20,3.333333333,Dairy_and_Egg,Sour_Cream,Null,2 tbsp,PB,227,1.39
ND01129,20,46.66666667,3.333333333,Meats,Luncheon_Meats,Pepperoni,16 slices,PB,142,3.49
ND01326,3.333333333,63.33333333,3.333333333,Sauces_Soups_Condiments_Dressing,Dressings,Caesar,2 Tbsp,SW,473,2.36
ND01325,3.333333333,56.66666667,3.333333333,Sauces_Soups_Condiments_Dressing,Dressings,Caesar,2 Tbsp,SW,267,1.48
ND01327,0,36.66666667,3.333333333,Sauces_Soups_Condiments_Dressing,Dressings,Greek,2 Tbsp,SW,473,2.36
ND01345,0,66.66666667,3.333333333,Sauces_Soups_Condiments_Dressing,Dressings,Ranch,2 Tbsp,PB,473,3.53
ND01356,0,0,3.333333333,Sauces_Soups_Condiments_Dressing,Dressings,White,1 tbsp,PB,473,0.99
ND01379,13.33333333,0,3.333333333,Sauces_Soups_Condiments_Dressing,Sauces,Soy,1 Tbsp,PB,148,2.45
ND01652,0.833333333,0,3.333333333,Vegetables,Green,Green_Beans,0.5 cup,PB,411,1.39
ND01653,0.833333333,0,3.333333333,Vegetables,Green,Green_Beans,0.5 cup,PB,411,1.39
ND01654,0.833333333,0,3.333333333,Vegetables,Green,Green_Beans,0.5 cup,PB,411,1.25
ND01655,0.833333333,0,3.333333333,Vegetables,Green,Green_Beans,0.5 cup,WD,411,0.79
ND01797,1.21,0.18,3.35,Vegetables,Yellow,Squash,"113g=1 cup, sliced / 323g=1 large",PB,454,1.69
ND00462,3.389830508,15.25423729,3.389830508,Beverages,Milk_Substitutes,Coconut Milk,2 oz,SW,400,1.74
ND01755,0.68,0.1,3.4,Vegetables,Red,Radishes,"116g=1 cup, slices / 9g=1 large,  (1"" to 1-0.25"" dia)",PB,128,0.99
ND00459,0.416666667,1.041666667,3.489583333,Beverages,Milk_Substitutes,Almond Milk,1 cup,SW,946,1.97
ND00998,17.54385965,8.771929825,3.50877193,Meats,Bacon_and_Sausage,Prepared_Sausage,0.5 cup (57 g),PB,272,4.49
ND01102,10.52631579,15.78947368,3.50877193,Meats,Luncheon_Meats,Hot_Dog,1 link,PB,454,3.49
ND01113,12.28070175,28.07017544,3.50877193,Meats,Luncheon_Meats,Hot_Dog,1 frank,PB,907,8.29
ND00108,12.67605634,8.450704225,3.521126761,Baby_Foods,Baby_Meats,Stage_3,"1 jar, drained",PB,71,1.59
ND00109,12.67605634,8.450704225,3.521126761,Baby_Foods,Baby_Meats,Stage_3,"1 jar, drained",PB ,71,1.59
ND01735,12.94117647,5.882352941,3.529411765,Vegetables,Processed,Soy products,3 oz.,PB,227,2.99
ND01730,10.58823529,4.705882353,3.529411765,Vegetables,Processed,Soy products,3 oz.,PB,397,2.99
ND01385,0.884955752,6.194690265,3.539823009,Sauces_Soups_Condiments_Dressing,Sauces,Tomato,0.5 cup,PB,680,8.99
ND00323,21.42857143,28.57142857,3.571428571,Dairy_and_Egg,Cheese,Blue,0.25 Cup,PB,141,2.99
ND00324,21.42857143,28.57142857,3.571428571,Dairy_and_Egg,Cheese,Blue,1 oz. ,PB,156,2.99
ND00335,25,32.14285714,3.571428571,Dairy_and_Egg,Cheese,Cheddar,1 oz,PB,454,6.29
ND00334,25,32.14285714,3.571428571,Dairy_and_Egg,Cheese,Cheddar,0.25 cup,PB,227,3.89
ND00348,25,32.14285714,3.571428571,Dairy_and_Egg,Cheese,Colby-Jack,1 oz.,PB,454,6.29
ND00368,17.85714286,21.42857143,3.571428571,Dairy_and_Egg,Cheese,Feta,0.25 cup,PB,113,3.19
ND00371,21.42857143,28.57142857,3.571428571,Dairy_and_Egg,Cheese,Gruyere,1 oz.,PB,226,6.49
ND00372,25,32.14285714,3.571428571,Dairy_and_Egg,Cheese,Havarti,1 oz.,PB,227,3
ND00376,25,21.42857143,3.571428571,Dairy_and_Egg,Cheese,Mozzarella,0.25 cup,PB,226,4.29
ND00377,21.42857143,21.42857143,3.571428571,Dairy_and_Egg,Cheese,Mozzarella,1 oz (28 g),PB,453,4.99
ND00374,21.42857143,17.85714286,3.571428571,Dairy_and_Egg,Cheese,Mozzarella,1 oz,PB,453,4.99
ND00378,28.57142857,21.42857143,3.571428571,Dairy_and_Egg,Cheese,Mozzarella,1 oz,PB,227,3.69
ND00379,28.57142857,21.42857143,3.571428571,Dairy_and_Egg,Cheese,Mozzarella,0.25 cup,PB,227,3.89
ND00380,25,21.42857143,3.571428571,Dairy_and_Egg,Cheese,Mozzarella,1 stick,PB,340,3.5
ND00382,28.57142857,21.42857143,3.571428571,Dairy_and_Egg,Cheese,Mozzarella,1 piece,PB,340,4.99
ND01904,21.42857143,28.57142857,3.571428571,Dairy_and_Egg,Cheese,Other,1 oz,SW,811.930342,10.35
ND00397,21.42857143,21.42857143,3.571428571,Dairy_and_Egg,Cheese,Other,1 piece,SW,340,2.98
ND00399,21.42857143,28.57142857,3.571428571,Dairy_and_Egg,Cheese,Other,0.25 cup,PB,226,4.29
ND00398,25,25,3.571428571,Dairy_and_Egg,Cheese,Other,0.25 cup,PB,227,3.89
ND00402,32.14285714,28.57142857,3.571428571,Dairy_and_Egg,Cheese,Parmesan,0.25 cup,PB,141,4.29
ND00403,32.14285714,28.57142857,3.571428571,Dairy_and_Egg,Cheese,Parmesan,0.25 cup,PB,198,5.29
ND00416,25,32.14285714,3.571428571,Dairy_and_Egg,Cheese,Swiss,1 oz.,PB,227,3
ND00417,25,32.14285714,3.571428571,Dairy_and_Egg,Cheese,Swiss,1 oz.,I,453,10.79
ND00411,28.57142857,28.57142857,3.571428571,Dairy_and_Egg,Cheese,Swiss,1 oz.,PB,227,3.69
ND00746,85.71428571,0,3.571428571,Formulas,Protein,Null,1 unpacked level scoop or 7g packet,I,1362,79.99
ND01134,14.28571429,16.07142857,3.571428571,Meats,Luncheon_Meats,Salami,1 slice,PB,227,4.99
ND01135,14.28571429,14.28571429,3.571428571,Meats,Luncheon_Meats,Salami,1 slice,PB,454,2.49
ND01145,12.5,28.57142857,3.571428571,Meats,Luncheon_Meats,Spam,2 oz,SW,340,2.5
ND01144,12.5,28.57142857,3.571428571,Meats,Luncheon_Meats,Spam,2 oz,WD,198,2.29
ND01150,16.07142857,1.785714286,3.571428571,Meats,Luncheon_Meats,Turkey,2 oz,PB,454,6.99
ND01301,0,85.71428571,3.571428571,Sauces_Soups_Condiments_Dressing,Condiments,Mayonnaise,1 Tbsp,PB,444,2.99
ND01351,3.571428571,67.85714286,3.571428571,Sauces_Soups_Condiments_Dressing,Dressings,Ranch,2 Tbsp,PB,354,3.69
ND01682,2.380952381,0,3.571428571,Vegetables,Green,Spinach,3/4 cup frozen,SW,255,1.88
ND01716,0,0,3.571428571,Vegetables,Processed,Pickles,3 pickles (1 oz),PB,473,2.99
ND01717,0,0,3.571428571,Vegetables,Processed,Pickles,about 1 spear (1 oz),PB,473,2.29
ND01718,0,0,3.571428571,Vegetables,Processed,Pickles,about 1 0.5 slices (1oz),PB,473,2.99
ND01796,1.204819277,0,3.614457831,Vegetables,Yellow,Squash,.66 cup,PB ,425,1.99
ND00410,8.064516129,14.51612903,3.629032258,Dairy_and_Egg,Cheese,Ricotta,0.25 cup,WM,425,1.94
ND01645,0.65,0.11,3.63,Vegetables,Green,Cucumber,0.5 cup slices = 52g,PB,340,0.75
ND01689,2.86,0.39,3.63,Vegetables,Green,Spinach,30g=1 cup / 340g=1 bunch,PB,254,2
ND01007,18.18181818,25.45454545,3.636363636,Meats,Bacon_and_Sausage,Prepared_Sausage,3 skillet-cooked links,PB,340,3.99
ND01475,2.13,0.52,3.67,Spices_and_Herbs,Seasonings,Null,9 sprigs=20 g,PB,8.5,1.49
ND01027,16.17647059,35.29411765,3.676470588,Meats,Bacon_and_Sausage,Prepared_Sausage,2 patties,SW,272,3.5
ND00961,14.81481481,12.96296296,3.703703704,Meats,Bacon_and_Sausage,Pork_Bacon,3 links,PB,181,2.19
